#=====================================================
# File created:        Thu-20-Feb-2025-at-06-21-31PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.031564
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2641.2979  0.2635 
   00001    0.6916   -3970.3342  0.2686 
   00002    0.6212   -4760.5908  0.2727 
   00003    0.5864   -5315.8403  0.2841 
   00004    0.5716   -5742.9600  0.2878 
   00005    0.5196   -5996.0342  0.2955 
   00006    0.5048   -6229.5981  0.3072 
   00007    0.5196   -6458.9390  0.3034 
   00008    0.5020   -6711.3486  0.3092 
   00009    0.4976   -6903.0430  0.3078 
   00010    0.4664   -7019.8896  0.3057 
   00011    0.4672   -7114.4570  0.3089 
   00012    0.4668   -7171.7939  0.3123 
   00013    0.4788   -7271.4458  0.3224 
   00014    0.4704   -7391.1357  0.3304 
   00015    0.4440   -7508.1182  0.3368 
   00016    0.4468   -7553.9502  0.3384 
   00017    0.4468   -7514.1255  0.3444 
   00018    0.4460   -7541.6162  0.3430 
   00019    0.4448   -7593.5381  0.3493 
   00020    0.4500   -7580.8276  0.3447 
   00021    0.4380   -7610.2100  0.3413 
   00022    0.4472   -7627.0205  0.3510 
   00023    0.4452   -7631.4937  0.3524 
   00024    0.4412   -7725.1440  0.3544 
   00025    0.4232   -7739.1670  0.3478 
   00026    0.4532   -7807.5884  0.3445 
   00027    0.4516   -7809.3740  0.3428 
   00028    0.4408   -7777.9971  0.3507 
   00029    0.4360   -7755.4521  0.3492 
   00030    0.4440   -7837.4971  0.3582 
   00031    0.4456   -7901.7676  0.3554 
   00032    0.4216   -7849.9419  0.3502 
   00033    0.4348   -7889.6045  0.3610 
   00034    0.4272   -7923.0542  0.3600 
   00035    0.4428   -7935.0596  0.3618 
   00036    0.4076   -7946.0703  0.3536 
   00037    0.4300   -7950.9399  0.3597 
   00038    0.4256   -8010.6245  0.3647 
   00039    0.4356   -8000.4883  0.3663 
   00040    0.4300   -7969.4707  0.3628 
   00041    0.4352   -7970.6504  0.3625 
   00042    0.4344   -8021.6924  0.3597 
   00043    0.4196   -8020.6436  0.3582 
   00044    0.4344   -8012.6904  0.3594 
   00045    0.4476   -8047.2466  0.3621 
   00046    0.4404   -8117.7500  0.3676 
   00047    0.4332   -8097.5220  0.3638 
   00048    0.4396   -8071.2539  0.3588 
   00049    0.4256   -8054.2812  0.3605 
   00050    0.4224   -8078.1641  0.3670 
