#=====================================================
# File created:        Wed-12-Feb-2025-at-04-10-31PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.023805
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2498.7493  0.2621 
   00001    0.6664   -3676.0967  0.2559 
   00002    0.6268   -4476.2129  0.2634 
   00003    0.5764   -4993.6162  0.2594 
   00004    0.5504   -5521.5815  0.2617 
   00005    0.5156   -5872.3740  0.2665 
   00006    0.5080   -6145.1841  0.2758 
   00007    0.5052   -6377.6172  0.2747 
   00008    0.4828   -6540.1021  0.2812 
   00009    0.4920   -6773.4541  0.2800 
   00010    0.4912   -6912.9092  0.2871 
   00011    0.4900   -7014.8350  0.2756 
   00012    0.4456   -7117.5728  0.2769 
   00013    0.4592   -7181.6216  0.2731 
   00014    0.4612   -7310.5625  0.2754 
   00015    0.4684   -7396.1938  0.2751 
   00016    0.4556   -7478.0864  0.2793 
   00017    0.4644   -7486.8589  0.2820 
   00018    0.4512   -7502.8418  0.2862 
   00019    0.4416   -7553.3125  0.2825 
   00020    0.4524   -7598.2876  0.2806 
   00021    0.4412   -7617.3584  0.2886 
   00022    0.4504   -7599.9360  0.2842 
   00023    0.4624   -7658.0757  0.2781 
   00024    0.4440   -7710.7046  0.2756 
   00025    0.4344   -7688.1094  0.2738 
   00026    0.4468   -7695.8770  0.2740 
   00027    0.4428   -7689.8965  0.2717 
   00028    0.4336   -7733.8838  0.2785 
   00029    0.4304   -7798.6187  0.2833 
   00030    0.4472   -7806.9854  0.2876 
   00031    0.4496   -7813.0537  0.2861 
   00032    0.4256   -7848.5742  0.2804 
   00033    0.4296   -7912.9585  0.2854 
   00034    0.4216   -7934.6211  0.2895 
   00035    0.4136   -7956.4521  0.2964 
   00036    0.4156   -7979.8955  0.2948 
   00037    0.4396   -7978.5527  0.2998 
   00038    0.4412   -7949.8975  0.3022 
   00039    0.4364   -7927.1621  0.3018 
   00040    0.4320   -7949.4922  0.3113 
   00041    0.4320   -7932.2725  0.3069 
   00042    0.4524   -7893.7603  0.3125 
   00043    0.4368   -7963.0049  0.3145 
   00044    0.4092   -8031.8184  0.3141 
   00045    0.4296   -8004.4395  0.3065 
   00046    0.4416   -8006.4761  0.3121 
   00047    0.4432   -8010.7891  0.3139 
   00048    0.4336   -8022.1235  0.3081 
   00049    0.4296   -8048.4141  0.3068 
   00050    0.4180   -8025.5776  0.3067 
