#=====================================================
# File created:        Wed-12-Feb-2025-at-09-58-08AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.785585
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2323.3069  0.2575 
   00001    0.6920   -3718.7322  0.2640 
   00002    0.6260   -4472.1562  0.2574 
   00003    0.5872   -5060.5874  0.2566 
   00004    0.5532   -5463.8970  0.2684 
   00005    0.5488   -5797.6309  0.2798 
   00006    0.5276   -6015.7476  0.2909 
   00007    0.5236   -6298.0884  0.2937 
   00008    0.4936   -6458.9512  0.2901 
   00009    0.5032   -6668.4326  0.2925 
   00010    0.4840   -6844.0591  0.2930 
   00011    0.4736   -7004.5303  0.2990 
   00012    0.5008   -7095.7124  0.3051 
   00013    0.4592   -7196.1074  0.3026 
   00014    0.4536   -7239.4771  0.3091 
   00015    0.4788   -7296.2207  0.3122 
   00016    0.4496   -7315.5679  0.3152 
   00017    0.4500   -7447.8198  0.3274 
   00018    0.4452   -7494.1582  0.3303 
   00019    0.4436   -7492.7207  0.3357 
   00020    0.4312   -7580.3784  0.3453 
   00021    0.4340   -7685.5073  0.3401 
   00022    0.4436   -7703.3726  0.3367 
   00023    0.4444   -7737.1084  0.3295 
   00024    0.4456   -7811.9116  0.3349 
   00025    0.4432   -7829.0576  0.3335 
   00026    0.4460   -7856.3145  0.3409 
   00027    0.4420   -7900.9165  0.3411 
   00028    0.4320   -7962.1919  0.3507 
   00029    0.4476   -7954.1836  0.3569 
   00030    0.4356   -7912.0308  0.3627 
   00031    0.4304   -7987.4697  0.3611 
   00032    0.4344   -7989.5195  0.3660 
   00033    0.4324   -8001.2959  0.3689 
   00034    0.4336   -8061.0103  0.3670 
   00035    0.4136   -8049.8037  0.3670 
   00036    0.4216   -8027.2583  0.3610 
   00037    0.4352   -8002.6982  0.3600 
   00038    0.4512   -8057.2549  0.3642 
   00039    0.4384   -8075.6636  0.3645 
   00040    0.4496   -8091.6235  0.3688 
   00041    0.4420   -8141.2915  0.3732 
   00042    0.4096   -8165.2515  0.3733 
   00043    0.4124   -8168.0688  0.3730 
   00044    0.4168   -8165.7119  0.3691 
   00045    0.4400   -8176.3999  0.3658 
   00046    0.4184   -8173.8691  0.3678 
   00047    0.4208   -8191.6006  0.3671 
   00048    0.4264   -8179.8691  0.3658 
   00049    0.4152   -8142.8027  0.3669 
   00050    0.4320   -8128.9048  0.3756 
