#=====================================================
# File created:        Fri-21-Feb-2025-at-03-34-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.555479
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2551.0694  0.2632 
   00001    0.6908   -2903.9157  0.2705 
   00002    0.6308   -3135.1524  0.2689 
   00003    0.5752   -3294.2039  0.2744 
   00004    0.5576   -3406.9563  0.2780 
   00005    0.5560   -3464.5349  0.2817 
   00006    0.5080   -3534.5054  0.2797 
   00007    0.5140   -3589.0271  0.2827 
   00008    0.4956   -3665.0164  0.2865 
   00009    0.4864   -3706.6530  0.2882 
   00010    0.4748   -3726.7059  0.2887 
   00011    0.4896   -3748.0362  0.2919 
   00012    0.4612   -3757.6879  0.2925 
   00013    0.4688   -3780.6542  0.2952 
   00014    0.4744   -3785.2556  0.2985 
   00015    0.4720   -3818.9765  0.3013 
   00016    0.4488   -3829.2999  0.3021 
   00017    0.4612   -3863.8326  0.3035 
   00018    0.4732   -3846.6479  0.3008 
   00019    0.4432   -3843.0646  0.2985 
   00020    0.4524   -3857.3566  0.2959 
   00021    0.4400   -3872.2169  0.2988 
   00022    0.4472   -3862.1241  0.2952 
   00023    0.4448   -3889.3842  0.2968 
   00024    0.4364   -3878.7350  0.2982 
   00025    0.4288   -3912.4010  0.2981 
   00026    0.4492   -3948.7162  0.2984 
   00027    0.4436   -3916.0545  0.2972 
   00028    0.4532   -3921.8764  0.3003 
   00029    0.4344   -3925.0409  0.2984 
   00030    0.4128   -3919.6005  0.3031 
   00031    0.4324   -3929.4798  0.3027 
   00032    0.4364   -3931.2044  0.3037 
   00033    0.4320   -3947.8122  0.3056 
   00034    0.4452   -3943.9600  0.3046 
   00035    0.4292   -3969.5343  0.3064 
   00036    0.4408   -3968.9195  0.3066 
   00037    0.4340   -3963.8017  0.3103 
   00038    0.4280   -3979.8904  0.3115 
   00039    0.4468   -3974.4775  0.3141 
   00040    0.4280   -3958.9217  0.3153 
   00041    0.4188   -3969.9282  0.3152 
   00042    0.4384   -3996.4208  0.3162 
   00043    0.4064   -4006.9236  0.3173 
   00044    0.4240   -4009.0968  0.3170 
   00045    0.4448   -4001.9555  0.3212 
   00046    0.4148   -3991.3448  0.3216 
   00047    0.4248   -3990.5988  0.3217 
   00048    0.4364   -4022.0624  0.3235 
   00049    0.4108   -4021.5927  0.3287 
   00050    0.3956   -4033.9126  0.3302 
