#=====================================================
# File created:        Sun-23-Feb-2025-at-04-02-29PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.725287
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    2.0000   -2518.8204  0.2708 
   00001    0.6780   -3732.5591  0.2756 
   00002    0.6312   -4509.8716  0.2895 
   00003    0.5852   -5215.7682  0.2963 
   00004    0.5528   -5565.7474  0.3082 
   00005    0.5500   -5922.9913  0.3088 
   00006    0.5308   -6161.5764  0.3139 
   00007    0.5268   -6376.7166  0.3159 
   00008    0.4808   -6601.5053  0.3168 
   00009    0.4724   -6774.2524  0.3235 
   00010    0.4820   -6962.2071  0.3224 
   00011    0.4740   -7069.9226  0.3429 
   00012    0.4656   -7115.9991  0.3492 
   00013    0.4788   -7162.3963  0.3463 
   00014    0.4624   -7234.2225  0.3506 
   00015    0.4608   -7325.1770  0.3437 
   00016    0.4580   -7332.5569  0.3480 
   00017    0.4596   -7398.0860  0.3579 
   00018    0.4404   -7401.2033  0.3674 
   00019    0.4544   -7401.1014  0.3698 
   00020    0.4540   -7468.7896  0.3692 
   00021    0.4456   -7505.4363  0.3719 
   00022    0.4364   -7602.3335  0.3720 
   00023    0.4636   -7605.7724  0.3695 
   00024    0.4520   -7597.3500  0.3766 
   00025    0.4524   -7656.2657  0.3784 
   00026    0.4344   -7701.2907  0.3795 
   00027    0.4372   -7671.9993  0.3821 
   00028    0.4496   -7689.8606  0.3851 
   00029    0.4408   -7691.0136  0.3841 
   00030    0.4796   -7756.5316  0.3833 
   00031    0.4420   -7714.1557  0.3913 
   00032    0.4492   -7717.3738  0.3969 
   00033    0.4336   -7716.5824  0.3879 
   00034    0.4544   -7745.8956  0.3901 
   00035    0.4444   -7767.0719  0.3941 
   00036    0.4456   -7770.2686  0.4001 
   00037    0.4416   -7801.3059  0.4030 
   00038    0.4492   -7828.2148  0.4022 
   00039    0.4360   -7843.7929  0.4010 
   00040    0.4292   -7881.0589  0.4048 
   00041    0.4508   -7820.4553  0.3991 
   00042    0.4428   -7823.4223  0.3971 
   00043    0.4388   -7853.3991  0.4023 
   00044    0.4428   -7863.6658  0.3986 
   00045    0.4332   -7845.7532  0.4045 
   00046    0.4312   -7830.9812  0.4050 
   00047    0.4236   -7884.9325  0.4073 
   00048    0.4252   -7884.7210  0.4007 
   00049    0.4416   -7922.7183  0.4063 
   00050    0.4268   -7846.2920  0.3999 
