#=====================================================
# File created:        Thu-20-Feb-2025-at-12-53-47PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.302649
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2515.1591  0.2571 
   00001    0.6840   -3785.2374  0.2738 
   00002    0.6204   -4550.1103  0.2787 
   00003    0.5908   -5106.9391  0.2792 
   00004    0.5476   -5550.0052  0.2740 
   00005    0.5272   -5925.9551  0.2686 
   00006    0.5164   -6179.3850  0.2721 
   00007    0.5136   -6429.3465  0.2666 
   00008    0.5136   -6640.8835  0.2635 
   00009    0.4616   -6806.6983  0.2649 
   00010    0.4776   -6918.2780  0.2718 
   00011    0.4668   -6970.4975  0.2781 
   00012    0.4712   -7093.2009  0.2763 
   00013    0.4704   -7224.6189  0.2712 
   00014    0.4612   -7329.1805  0.2805 
   00015    0.4764   -7386.7791  0.2830 
   00016    0.4416   -7454.1345  0.2817 
   00017    0.4492   -7492.2915  0.2900 
   00018    0.4460   -7486.2164  0.2825 
   00019    0.4556   -7479.3222  0.2863 
   00020    0.4496   -7528.6894  0.2784 
   00021    0.4300   -7543.5363  0.2779 
   00022    0.4356   -7594.4453  0.2869 
   00023    0.4560   -7670.5594  0.2828 
   00024    0.4352   -7638.5989  0.2804 
   00025    0.4436   -7695.8325  0.2836 
   00026    0.4432   -7748.4504  0.2842 
   00027    0.4160   -7765.8510  0.2774 
   00028    0.4300   -7755.9665  0.2745 
   00029    0.4576   -7793.2205  0.2708 
   00030    0.4444   -7825.9664  0.2653 
   00031    0.4348   -7888.9273  0.2612 
   00032    0.4536   -7888.6229  0.2517 
   00033    0.4376   -7902.7002  0.2554 
   00034    0.4416   -7898.1103  0.2513 
   00035    0.4324   -7933.1688  0.2570 
   00036    0.4316   -7932.7821  0.2540 
   00037    0.4512   -7956.8266  0.2586 
   00038    0.4352   -7937.5147  0.2609 
   00039    0.4300   -7924.9966  0.2595 
   00040    0.4316   -7958.7472  0.2520 
   00041    0.4436   -7932.2464  0.2554 
   00042    0.4388   -7965.0907  0.2605 
   00043    0.4292   -7942.1588  0.2578 
   00044    0.4336   -7942.5475  0.2554 
   00045    0.4320   -8005.8046  0.2554 
   00046    0.4392   -8046.8887  0.2599 
   00047    0.4328   -8035.7410  0.2647 
   00048    0.4468   -8023.2417  0.2604 
   00049    0.4312   -8070.5302  0.2609 
   00050    0.4304   -8116.7352  0.2641 
